flag_id,check,severity,cbsa_code,cbsa_title,year,measure,detail,dispositioned
7b8109748a,cross_source_income,BLOCKER,41940,"San Jose-Sunnyvale-Santa Clara, CA",2024,bea_income_growth,"bea_income_growth +5.5% vs qcew_pay_growth +12.7% (centered diff -7.6%, z -5.6); verify boundary/source before publishing",False
230aa18e39,cross_source_home_values,BLOCKER,12940,"Baton Rouge, LA",2017,zhvi_growth,"zhvi_growth -0.5% vs fhfa_hpi_growth +4.0% (centered diff -4.8%, z -4.0); verify boundary/source before publishing",False
725041521c,cross_source_home_values,BLOCKER,40380,"Rochester, NY",2018,zhvi_growth,"zhvi_growth +0.6% vs fhfa_hpi_growth +4.9% (centered diff -4.7%, z -2.7); verify boundary/source before publishing",False
7b9903b5ce,cross_source_home_values,BLOCKER,41940,"San Jose-Sunnyvale-Santa Clara, CA",2018,zhvi_growth,"zhvi_growth +23.2% vs fhfa_hpi_growth +9.9% (centered diff +12.9%, z +7.3); verify boundary/source before publishing",False
4b4b05d168,cross_source_home_values,BLOCKER,42540,"Scranton--Wilkes-Barre, PA",2018,zhvi_growth,"zhvi_growth +6.6% vs fhfa_hpi_growth +2.2% (centered diff +4.0%, z +2.3); verify boundary/source before publishing",False
1a68811de2,cross_source_home_values,BLOCKER,12420,"Austin-Round Rock-San Marcos, TX",2019,zhvi_growth,"zhvi_growth +2.9% vs fhfa_hpi_growth +6.5% (centered diff -3.6%, z -3.3); verify boundary/source before publishing",False
4fdabd71a3,cross_source_home_values,BLOCKER,32580,"McAllen-Edinburg-Mission, TX",2020,zhvi_growth,"zhvi_growth +9.1% vs fhfa_hpi_growth +4.6% (centered diff +3.5%, z +3.2); verify boundary/source before publishing",False
a909a4dad5,cross_source_home_values,BLOCKER,12420,"Austin-Round Rock-San Marcos, TX",2021,zhvi_growth,"zhvi_growth +30.4% vs fhfa_hpi_growth +25.3% (centered diff +4.3%, z +2.9); verify boundary/source before publishing",False
8cd958106b,cross_source_home_values,BLOCKER,14260,"Boise City, ID",2021,zhvi_growth,"zhvi_growth +35.9% vs fhfa_hpi_growth +28.9% (centered diff +6.3%, z +4.2); verify boundary/source before publishing",False
cba46ed2ed,cross_source_home_values,BLOCKER,41940,"San Jose-Sunnyvale-Santa Clara, CA",2021,zhvi_growth,"zhvi_growth +13.8% vs fhfa_hpi_growth +6.1% (centered diff +6.9%, z +4.6); verify boundary/source before publishing",False
769a8ec808,cross_source_home_values,BLOCKER,15980,"Cape Coral-Fort Myers, FL",2022,zhvi_growth,"zhvi_growth +32.0% vs fhfa_hpi_growth +29.4% (centered diff +5.3%, z +2.7); verify boundary/source before publishing",False
1337d47f9a,cross_source_home_values,BLOCKER,26420,"Houston-Pasadena-The Woodlands, TX",2022,zhvi_growth,"zhvi_growth +17.2% vs fhfa_hpi_growth +15.4% (centered diff +4.4%, z +2.3); verify boundary/source before publishing",False
3cf4886310,cross_source_home_values,BLOCKER,29820,"Las Vegas-Henderson-North Las Vegas, NV",2022,zhvi_growth,"zhvi_growth +21.8% vs fhfa_hpi_growth +20.5% (centered diff +4.0%, z +2.1); verify boundary/source before publishing",False
0f2d290ae2,cross_source_home_values,BLOCKER,33340,"Milwaukee-Waukesha, WI",2022,zhvi_growth,"zhvi_growth +7.2% vs fhfa_hpi_growth +14.2% (centered diff -4.3%, z -2.2); verify boundary/source before publishing",False
194cc7664a,cross_source_home_values,BLOCKER,35840,"North Port-Bradenton-Sarasota, FL",2022,zhvi_growth,"zhvi_growth +31.7% vs fhfa_hpi_growth +29.2% (centered diff +5.1%, z +2.6); verify boundary/source before publishing",False
420bdcab50,cross_source_home_values,BLOCKER,38940,"Port St. Lucie, FL",2022,zhvi_growth,"zhvi_growth +28.4% vs fhfa_hpi_growth +25.9% (centered diff +5.2%, z +2.7); verify boundary/source before publishing",False
7c8ac3802a,cross_source_home_values,BLOCKER,42540,"Scranton--Wilkes-Barre, PA",2022,zhvi_growth,"zhvi_growth +9.5% vs fhfa_hpi_growth +16.6% (centered diff -4.5%, z -2.3); verify boundary/source before publishing",False
7c4cba8310,cross_source_home_values,BLOCKER,12940,"Baton Rouge, LA",2023,zhvi_growth,"zhvi_growth +2.8% vs fhfa_hpi_growth +0.8% (centered diff +4.7%, z +3.4); verify boundary/source before publishing",False
