cbsa_code,cbsa_title,fred_id,year,ours,fred,pct_diff,note
32580,"McAllen-Edinburg-Mission, TX",MCAL548BPPRIV,2024,7292,7312.0,-0.00273522975929974,
32820,"Memphis, TN-MS-AR",MPHBPPRIV,2023,4058,4171.0,-0.027091824502517348,
32820,"Memphis, TN-MS-AR",MPHBPPRIV,2024,4240,4205.0,0.00832342449464929,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",MIAM112BPPRIV,2023,21320,21957.0,-0.02901124925991716,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",MIAM112BPPRIV,2024,16352,16604.0,-0.015177065767284947,
33340,"Milwaukee-Waukesha, WI",MILW355BPPRIV,2023,2864,2526.0,0.13380839271575606,
33340,"Milwaukee-Waukesha, WI",MILW355BPPRIV,2024,4058,3627.0,0.11883098979873163,
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",MINN427BPPRIV,2023,18633,17359.0,0.07339132438504525,
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",MINN427BPPRIV,2024,14022,15227.0,-0.0791357457148486,
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",NASH947BPPRIV,2023,23676,23048.0,0.027247483512669257,
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",NASH947BPPRIV,2024,20038,19954.0,0.00420968226921925,
35380,"New Orleans-Metairie, LA",NEWO322BPPRIV,2023,2246,3686.0,-0.39066739012479657,
35380,"New Orleans-Metairie, LA",NEWO322BPPRIV,2024,1611,1929.0,-0.16485225505443235,
35620,"New York-Newark-Jersey City, NY-NJ",NEWY636BPPRIV,2023,62837,38585.0,0.6285344045613581,
35620,"New York-Newark-Jersey City, NY-NJ",NEWY636BPPRIV,2024,57929,59629.0,-0.028509617803417764,
35840,"North Port-Bradenton-Sarasota, FL",SARA212BPPRIV,2023,15928,15208.0,0.047343503419253086,
35840,"North Port-Bradenton-Sarasota, FL",SARA212BPPRIV,2024,14938,14955.0,-0.0011367435640253776,
36420,"Oklahoma City, OK",OKLA440BPPRIV,2023,6736,6382.0,0.055468505170792826,
36420,"Oklahoma City, OK",OKLA440BPPRIV,2024,7707,7227.0,0.0664176006641759,
36540,"Omaha, NE-IA",OMAH531BPPRIV,2023,4719,4603.0,0.02520095589832727,
36540,"Omaha, NE-IA",OMAH531BPPRIV,2024,7197,7054.0,0.02027218599376246,
36740,"Orlando-Kissimmee-Sanford, FL",ORLA712BPPRIV,2023,25415,25538.0,-0.004816352102748889,
36740,"Orlando-Kissimmee-Sanford, FL",ORLA712BPPRIV,2024,24135,23522.0,0.02606070912337377,
37340,"Palm Bay-Melbourne-Titusville, FL",PALM312BPPRIV,2023,6537,6441.0,0.014904517931998207,
37340,"Palm Bay-Melbourne-Titusville, FL",PALM312BPPRIV,2024,4603,4619.0,-0.0034639532366312897,
37860,"Pensacola-Ferry Pass-Brent, FL",PENS812BPPRIV,2023,2823,2826.0,-0.0010615711252653925,
37860,"Pensacola-Ferry Pass-Brent, FL",PENS812BPPRIV,2024,3445,3461.0,-0.004622941346431708,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHIL942BPPRIV,2023,12019,13369.0,-0.10097987882414539,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHIL942BPPRIV,2024,14214,13720.0,0.03600583090379006,
