month,cbsa_code,yoy
2019-07,12580,0.0264
2019-08,12580,0.028
2019-09,12580,0.0286
2019-10,12580,0.0274
2019-11,12580,0.0273
2019-12,12580,0.0238
2020-01,12580,0.0269
2020-02,12580,0.0255
2020-03,12580,0.0253
2020-04,12580,0.0212
2020-05,12580,0.0178
2020-06,12580,0.0148
2020-07,12580,0.014
2020-08,12580,0.0129
2020-09,12580,0.0137
2020-10,12580,0.021
2020-11,12580,0.0261
2020-12,12580,0.0323
2021-01,12580,0.0324
2021-02,12580,0.038
2021-03,12580,0.0412
2021-04,12580,0.0533
2021-05,12580,0.0668
2021-06,12580,0.0814
2021-07,12580,0.0928
2021-08,12580,0.1047
2021-09,12580,0.1151
2021-10,12580,0.1104
2021-11,12580,0.1099
2021-12,12580,0.1098
2022-01,12580,0.1159
2022-02,12580,0.1136
2022-03,12580,0.1132
2022-04,12580,0.1105
2022-05,12580,0.1033
2022-06,12580,0.0947
2022-07,12580,0.0843
2022-08,12580,0.0719
2022-09,12580,0.0572
2022-10,12580,0.0542
2022-11,12580,0.0474
2022-12,12580,0.0434
2023-01,12580,0.0377
2023-02,12580,0.0401
2023-03,12580,0.042
2023-04,12580,0.0355
2023-05,12580,0.0322
2023-06,12580,0.0278
2023-07,12580,0.028
2023-08,12580,0.027
2023-09,12580,0.0293
2023-10,12580,0.0302
2023-11,12580,0.0324
2023-12,12580,0.0317
2024-01,12580,0.0283
2024-02,12580,0.0243
2024-03,12580,0.0215
2024-04,12580,0.0257
2024-05,12580,0.0294
2024-06,12580,0.0337
2024-07,12580,0.0334
2024-08,12580,0.0356
2024-09,12580,0.0359
2024-10,12580,0.0382
2024-11,12580,0.038
2024-12,12580,0.0396
2025-01,12580,0.0412
2025-02,12580,0.0415
2025-03,12580,0.0409
2025-04,12580,0.0373
2025-05,12580,0.0324
2025-06,12580,0.0283
2025-07,12580,0.0282
2025-08,12580,0.0287
2025-09,12580,0.031
2025-10,12580,0.0273
2025-11,12580,0.0267
2025-12,12580,0.0246
2026-01,12580,0.0251
2026-02,12580,0.0232
2026-03,12580,0.0204
2026-04,12580,0.02
2026-05,12580,0.0208
2018-01,12940,-0.0183
2018-02,12940,-0.0044
2018-03,12940,-0.0045
2018-04,12940,0.0037
2018-05,12940,0.0002
2018-06,12940,0.0086
2018-07,12940,0.0056
2018-08,12940,0.0048
2018-09,12940,-0.0006
2018-10,12940,-0.0037
2018-11,12940,0.0019
2018-12,12940,-0.0042
2019-01,12940,-0.0041
2019-02,12940,-0.0069
2019-03,12940,0.0025
2019-04,12940,0.0007
2019-05,12940,0.003
2019-06,12940,-0.0012
2019-07,12940,0.0014
2019-08,12940,-0.0002
2019-09,12940,0.0034
2019-10,12940,0.0033
2019-11,12940,0.0026
2019-12,12940,0.0023
2020-01,12940,0.0014
2020-02,12940,-0.004
