cbsa_code,cbsa_title,total_units,mf_units,total_units_reported,mf_units_reported,year
11260,"Anchorage, AK",887,176,808,176,2014
11260,"Anchorage, AK",933,148,99,0,2015
11260,"Anchorage, AK",1046,216,116,42,2016
11260,"Anchorage, AK",1148,208,128,36,2017
11260,"Anchorage, AK",1259,208,176,42,2018
11260,"Anchorage, AK",1163,225,104,52,2019
11260,"Anchorage, AK",1030,189,180,75,2020
11260,"Anchorage, AK",1183,244,50,0,2021
11260,"Anchorage, AK",213,29,213,29,2022
11260,"Anchorage, AK",457,89,457,89,2023
11260,"Anchorage, AK",426,119,373,94,2024
11260,"Anchorage, AK",297,36,296,36,2025
11460,"Ann Arbor, MI",1809,916,1807,916,1990
11460,"Ann Arbor, MI",1159,237,888,72,1991
11460,"Ann Arbor, MI",1156,11,1152,11,1992
11460,"Ann Arbor, MI",1698,152,1692,152,1993
11460,"Ann Arbor, MI",2055,356,2051,356,1994
11460,"Ann Arbor, MI",2006,296,2006,296,1995
11460,"Ann Arbor, MI",2512,465,2509,465,1996
11460,"Ann Arbor, MI",2433,612,2427,612,1997
11460,"Ann Arbor, MI",2902,718,2892,718,1998
11460,"Ann Arbor, MI",2617,348,2601,348,1999
11460,"Ann Arbor, MI",1980,100,1980,100,2000
11460,"Ann Arbor, MI",2105,242,2105,242,2001
11460,"Ann Arbor, MI",2333,30,2330,30,2002
11460,"Ann Arbor, MI",2527,334,2527,334,2003
11460,"Ann Arbor, MI",2708,664,2367,614,2004
11460,"Ann Arbor, MI",1676,227,1356,176,2005
11460,"Ann Arbor, MI",775,132,518,76,2006
11460,"Ann Arbor, MI",565,65,369,10,2007
11460,"Ann Arbor, MI",347,65,217,15,2008
11460,"Ann Arbor, MI",253,41,153,6,2009
11460,"Ann Arbor, MI",368,45,260,0,2010
11460,"Ann Arbor, MI",477,273,476,273,2011
11460,"Ann Arbor, MI",276,12,204,12,2012
11460,"Ann Arbor, MI",758,356,711,356,2013
11460,"Ann Arbor, MI",570,183,485,183,2014
11460,"Ann Arbor, MI",420,30,308,30,2015
11460,"Ann Arbor, MI",438,0,318,0,2016
11460,"Ann Arbor, MI",657,22,502,22,2017
11460,"Ann Arbor, MI",805,116,611,101,2018
11460,"Ann Arbor, MI",815,123,642,103,2019
11460,"Ann Arbor, MI",1065,197,883,187,2020
11460,"Ann Arbor, MI",916,15,720,10,2021
11460,"Ann Arbor, MI",656,33,538,28,2022
11460,"Ann Arbor, MI",1597,1080,1498,1080,2023
11460,"Ann Arbor, MI",1193,560,959,330,2024
11460,"Ann Arbor, MI",1088,534,1041,493,2025
11500,"Anniston-Oxford, AL",231,43,225,43,1990
11500,"Anniston-Oxford, AL",155,18,150,18,1991
11500,"Anniston-Oxford, AL",179,24,179,24,1992
11500,"Anniston-Oxford, AL",189,24,183,24,1993
11500,"Anniston-Oxford, AL",269,41,167,16,1994
11500,"Anniston-Oxford, AL",275,85,134,60,1995
11500,"Anniston-Oxford, AL",312,112,94,47,1996
11500,"Anniston-Oxford, AL",232,70,66,0,1997
11500,"Anniston-Oxford, AL",267,87,84,5,1998
11500,"Anniston-Oxford, AL",422,210,229,132,1999
11500,"Anniston-Oxford, AL",336,45,315,45,2000
11500,"Anniston-Oxford, AL",259,16,59,0,2001
11500,"Anniston-Oxford, AL",233,16,203,16,2002
11500,"Anniston-Oxford, AL",163,0,163,0,2003
11500,"Anniston-Oxford, AL",222,16,206,16,2004
11500,"Anniston-Oxford, AL",266,0,264,0,2005
11500,"Anniston-Oxford, AL",277,7,248,7,2006
11500,"Anniston-Oxford, AL",472,206,472,206,2007
11500,"Anniston-Oxford, AL",197,6,197,6,2008
11500,"Anniston-Oxford, AL",194,46,192,46,2009
11500,"Anniston-Oxford, AL",107,5,107,5,2010
