cbsa_code,cbsa_title,year,n_indicators,score,bucket_Demand,bucket_Supply,bucket_Affordability,bucket_Momentum,bucket_Resilience,rank
10900,"Allentown-Bethlehem-Easton, PA-NJ",2023,8,0.10670327212266079,-0.07473360231073355,0.23541479877871935,-0.06401550240235881,0.01158980457936329,-0.0015522265223294807,41
42660,"Seattle-Tacoma-Bellevue, WA",2023,8,0.09859128250438678,-0.19327591962103005,0.0789436776876702,0.2747560570886709,-0.11456979779626249,0.05273726514533821,42
27140,"Jackson, MS",2023,8,0.0940661040960592,-0.1850804997651858,0.24161351082211005,-0.044728041428610164,0.014643235786119447,0.0676178986816257,43
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2023,8,0.08461062227332482,0.4549729440027087,-0.39468688762852094,0.10850243621570795,-0.10478835438899321,0.02061048407242233,44
24860,"Greenville-Anderson-Greer, SC",2023,8,0.07527030511873883,0.2596250828410754,-0.16143276864070127,-0.04471311827908553,0.010020338583218751,0.011770770614231492,45
37860,"Pensacola-Ferry Pass-Brent, FL",2023,8,0.06635636501581144,0.285752739744483,0.012751283381612254,-0.14236875720659803,-0.09683666446999806,0.007057763566312264,46
17900,"Columbia, SC",2023,8,0.06505638849885613,0.10753482913674711,-0.053289375156094845,-0.05887869181739243,0.11607543538726904,-0.04638580905167275,47
45300,"Tampa-St. Petersburg-Clearwater, FL",2023,8,0.06484989741323965,0.35040242574878755,-0.11945474662797025,-0.16936458613048308,-0.03528846569090717,0.03855527011381259,48
19820,"Detroit-Warren-Dearborn, MI",2023,8,0.06264891263513252,-0.2095886901198789,0.2743755754534961,0.02624284595613398,-0.046992194967831795,0.01861137631321311,49
24660,"Greensboro-High Point, NC",2023,8,0.05050310797249344,-0.1265879373306457,0.07422491946818244,-0.0007234157448693726,0.09317375201792202,0.010415789561904035,50
17820,"Colorado Springs, CO",2023,8,0.0465572757423796,0.16499710612368224,-0.10879177645207189,0.047857125280815184,-0.07013427443770325,0.012629095227657317,51
16980,"Chicago-Naperville-Elgin, IL-IN",2023,8,0.04639743225697894,-0.24002755034741632,0.2652150093351832,-0.10912506872002,0.10413382879298567,0.026201213196246353,52
29820,"Las Vegas-Henderson-North Las Vegas, NV",2023,8,0.044704353978108055,0.3225763224130163,-0.03132413289579209,-0.003878008378804431,-0.23534440972720216,-0.007325417433109565,53
45780,"Toledo, OH",2023,8,0.03181383594734361,-0.20538405192209133,0.24966211708072128,0.009153371615089084,0.009744946584872051,-0.031362547411247464,54
29540,"Lancaster, PA",2023,8,0.03137105103978477,-0.3902698235014962,0.12414200560031327,0.14262205321014126,0.13805409796940352,0.016822717761422874,55
41700,"San Antonio-New Braunfels, TX",2023,8,0.030819901395048553,0.28802857140365873,-0.08193427889887551,-0.006890255410174979,-0.15713200646558362,-0.011252129233976095,56
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",2023,8,0.025101700280951524,-0.06286149672230222,0.13382147432969957,-0.13176110288497872,0.044419574168668964,0.04148325138986393,57
49340,"Worcester, MA",2023,8,0.023334781302013476,-0.40518069468880086,0.27680524439284016,-0.06017806144842691,0.1727847791028216,0.03910351394357948,58
18140,"Columbus, OH",2023,8,0.015711774643336507,-0.14531437926619026,0.009897511620337291,0.07367639416683791,0.044666677021391425,0.03278557110096014,59
40060,"Richmond, VA",2023,8,0.013477766462500478,0.06964001094591579,-0.14278263524017823,0.09590274451783538,-0.030450398497867306,0.021168044736794844,60
39900,"Reno, NV",2023,8,0.012107822629825807,0.10889510820415219,-0.18044314879541037,0.18266742601698985,-0.16159679345546374,0.06258523065955789,61
28140,"Kansas City, MO-KS",2023,8,0.007402365985391325,-0.249644200718958,0.14500813062801318,0.08937483948672385,0.08388654146681952,-0.061222944877207246,62
38300,"Pittsburgh, PA",2023,8,-0.013068076872298263,-0.2755757090104047,0.21684238509497614,0.014812168383748797,-3.8178956562342397e-05,0.030891257615943826,63
45060,"Syracuse, NY",2023,8,-0.024886665416574187,-0.34959136322707346,0.3145186051695296,-0.06025160821811777,0.06374278416544442,0.006694916693643006,64
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2023,8,-0.025343158235450747,-0.2541615633888772,0.24210789861274934,0.018523596223356975,-0.025934264044263536,-0.00587882563841634,65
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2023,8,-0.04594756474387629,-0.1607326420662304,0.021334144477242578,0.1363465359718684,-0.07963044124845946,0.03673483812170256,66
26420,"Houston-Pasadena-The Woodlands, TX",2023,8,-0.053381542793965196,0.35885892438026423,-0.3251726393172915,0.03213700844701378,-0.0649616062658989,-0.054243230038052793,67
14460,"Boston-Cambridge-Newton, MA-NH",2023,8,-0.05395458408958562,-0.3330022377135761,0.22157345911625692,-0.09163363086808728,0.12497572410952772,0.024132101266293154,68
16740,"Charlotte-Concord-Gastonia, NC-SC",2023,8,-0.05465061045335602,0.2765960748990762,-0.3690070798425963,0.0134787021475944,-0.009603326315042661,0.0338850186576123,69
35300,"New Haven, CT",2023,8,-0.06045744437089883,-0.3099619505461133,0.206269995207424,-0.1380384236009104,0.16697301938177025,0.014299915186930613,70
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",2023,8,-0.06280255027203593,-0.1363324190214352,0.13981985173592698,-0.063472866037449,0.031547645083072104,-0.034364762032150824,71
